Idx_Sample,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,MnO,LOI,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Na2SiO3,NaOH,NaOH specific gravity,Na2SiO3 specific gravity,Total solution,Na2O (l),Sio2 (l),H2O,Na2O (Dry),Sio2 (Dry),Water,Total NaOH,Concentration (M) NaOH,Water,NaOH (Dry),Additional water,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Final curing temp (C),Mixture CO2 (Na2SiO3 as solution),28-d Cubic compressive strength (MPa)
596,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,106.9066667,53.45333333,0,0,106.9066667,0.09,0.28,0.63,9.62,29.93,67.3512,53.45333333,8,36.34826667,17.10506667,0,3.56,105.8354667,0,24,24,104.87289068505,58.1384
597,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,80.18,80.18,0,0,80.18,0.09,0.28,0.63,7.22,22.45,50.5134,80.18,10,48.108,32.072,0,3.56,100.7574,0,24,24,123.912968,43.6923
598,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,96.216,64.144,0,0,96.216,0.09,0.28,0.63,8.66,26.94,60.61608,64.144,10,38.4864,25.6576,0,3.56,101.23848,0,24,24,117.402352,50.7692
599,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,106.9066667,53.45333333,0,0,106.9066667,0.09,0.28,0.63,9.62,29.93,67.3512,53.45333333,10,32.072,21.38133333,0,3.56,101.5592,0,24,24,113.06194133895,66.1538
600,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,80.18,80.18,0,0,80.18,0.09,0.28,0.63,7.22,22.45,50.5134,80.18,12,41.6936,38.4864,0,3.56,94.343,0,24,24,136.196544,45.8666
601,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,96.216,64.144,0,0,96.216,0.09,0.28,0.63,8.66,26.94,60.61608,64.144,12,33.35488,30.78912,0,3.56,96.10696,0,24,24,127.2292128,58.9177
602,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,106.9066667,53.45333333,0,0,106.9066667,0.09,0.28,0.63,9.62,29.93,67.3512,53.45333333,12,27.79573333,25.6576,0,3.56,97.28293333,0,24,24,121.250992012,70.9148
603,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,80.18,80.18,0,0,80.18,0.09,0.28,0.63,7.22,22.45,50.5134,80.18,14,35.2792,44.9008,0,3.56,87.9286,0,24,24,148.48012,48.7669
604,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,96.216,64.144,0,0,96.216,0.09,0.28,0.63,8.66,26.94,60.61608,64.144,14,28.22336,35.92064,0,3.56,90.97544,0,24,24,137.0560736,61.3713
605,30.97,17.41,1.03,36.77,9.01,0.69,0.46,1.82,0,0,0,0,0,0,0,0,356.36,0,0,0,1284.29,467.12,106.9066667,53.45333333,0,0,106.9066667,0.09,0.28,0.63,9.62,29.93,67.3512,53.45333333,14,23.51946667,29.93386667,0,3.56,93.00666667,0,24,24,129.44004268505,71.1834
